Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,36,7,Some Random Commen with Id 0
1,1,3,148,1,Some Random Commen with Id 1
2,1,3,183,7,Some Random Commen with Id 2
3,1,3,103,0,Some Random Commen with Id 3
4,1,3,110,8,Some Random Commen with Id 4
5,1,3,131,9,Some Random Commen with Id 5
6,1,3,199,3,Some Random Commen with Id 6
7,2,4,43,1,Some Random Commen with Id 7
8,2,4,111,5,Some Random Commen with Id 8
9,2,4,79,8,Some Random Commen with Id 9
10,2,4,49,3,Some Random Commen with Id 10
11,2,4,45,9,Some Random Commen with Id 11
12,2,4,173,6,Some Random Commen with Id 12
13,2,4,187,8,Some Random Commen with Id 13
14,2,4,83,4,Some Random Commen with Id 14
15,3,5,123,5,Some Random Commen with Id 15
16,3,5,177,3,Some Random Commen with Id 16
17,3,5,184,4,Some Random Commen with Id 17
18,3,5,47,0,Some Random Commen with Id 18
19,4,4,40,7,Some Random Commen with Id 19
20,4,4,178,8,Some Random Commen with Id 20
21,5,5,150,1,Some Random Commen with Id 21
22,5,5,1,0,Some Random Commen with Id 22
23,5,5,100,4,Some Random Commen with Id 23
24,5,5,18,2,Some Random Commen with Id 24
25,5,5,163,6,Some Random Commen with Id 25
26,5,5,41,3,Some Random Commen with Id 26
27,5,5,149,8,Some Random Commen with Id 27
28,6,4,146,9,Some Random Commen with Id 28
29,7,4,38,9,Some Random Commen with Id 29
30,7,4,58,9,Some Random Commen with Id 30
31,7,4,25,1,Some Random Commen with Id 31
32,7,4,107,1,Some Random Commen with Id 32
33,8,7,93,9,Some Random Commen with Id 33
34,8,7,166,7,Some Random Commen with Id 34
35,8,7,119,4,Some Random Commen with Id 35
36,8,7,189,1,Some Random Commen with Id 36
37,9,7,13,3,Some Random Commen with Id 37
38,9,7,3,7,Some Random Commen with Id 38
39,9,7,15,2,Some Random Commen with Id 39
40,9,7,199,0,Some Random Commen with Id 40
41,9,7,116,6,Some Random Commen with Id 41
42,9,7,45,1,Some Random Commen with Id 42
43,10,2,58,5,Some Random Commen with Id 43
44,10,2,94,7,Some Random Commen with Id 44
45,11,4,150,9,Some Random Commen with Id 45
46,11,4,154,0,Some Random Commen with Id 46
47,11,4,156,9,Some Random Commen with Id 47
48,11,4,99,9,Some Random Commen with Id 48
49,12,7,59,5,Some Random Commen with Id 49
50,12,7,29,7,Some Random Commen with Id 50
51,12,7,148,4,Some Random Commen with Id 51
52,13,6,33,3,Some Random Commen with Id 52
53,14,5,6,8,Some Random Commen with Id 53
54,14,5,54,2,Some Random Commen with Id 54
55,14,5,155,5,Some Random Commen with Id 55
56,14,5,123,6,Some Random Commen with Id 56
57,14,5,167,9,Some Random Commen with Id 57
58,14,5,66,5,Some Random Commen with Id 58
59,14,5,73,2,Some Random Commen with Id 59
60,17,5,79,5,Some Random Commen with Id 60
61,17,5,160,0,Some Random Commen with Id 61
62,17,5,74,7,Some Random Commen with Id 62
63,17,5,24,5,Some Random Commen with Id 63
64,17,5,167,9,Some Random Commen with Id 64
65,17,5,13,8,Some Random Commen with Id 65
66,18,2,192,1,Some Random Commen with Id 66
67,18,2,82,9,Some Random Commen with Id 67
68,18,2,148,2,Some Random Commen with Id 68
69,18,2,97,5,Some Random Commen with Id 69
70,19,3,88,8,Some Random Commen with Id 70
71,19,3,66,2,Some Random Commen with Id 71
72,19,3,97,4,Some Random Commen with Id 72
73,19,3,135,2,Some Random Commen with Id 73
74,20,0,65,6,Some Random Commen with Id 74
75,20,0,0,7,Some Random Commen with Id 75
76,20,0,175,7,Some Random Commen with Id 76
77,20,0,174,8,Some Random Commen with Id 77
78,20,0,131,1,Some Random Commen with Id 78
79,22,3,19,8,Some Random Commen with Id 79
